# 846 карточек игроков, заведённых 03.09.2026 сборщиком составов
# (docs/clubs_squads_wikidata.py --create-cards). В проде они лежат
# с active = false: голые, без фото, страны, описания и славы.
#
# ⚠️ QID ХРАНИТСЯ ЗДЕСЬ, ПОТОМУ ЧТО В cards ЕГО КОЛОНКИ НЕТ. Без него
# просмотры этим карточкам придётся искать резолвом по имени, а он
# промахивается молча: замер на первых четырёх карточках очереди —
# «Гарри Невилл», «Хын Мин Сон», «Расмус Хёйлунн», «Скотт МакТоминэй»
# — 4 из 4 не найдены. Отсюда и файл: угадывать нечего, имя ВЗЯТО
# из Викиданных, и вот сущность, откуда оно взято.
#
# card_id	name_ru	name_en	qid
68643c0f-e8c4-4527-9dce-5da33c521051	Рауль Станчу	Raul Stanciu	Q122425579
0ecc0b25-9bc0-4a73-a0d8-83d6eed10696	Филип Мархвиньский	Filip Marchwiński	Q59812045
70deaa6f-1487-441f-a5f9-d3fcc0147bde	Медон Бериша	Medon Berisha	Q124633002
02650acc-97eb-4f9e-8925-72a7e8933f02	Валид Шеддира	Walid Cheddira	Q69580745
be9db841-8f2d-44e2-9058-c7591f33a210	Рареш Бурнете	Rareș Burnete	Q112624634
e96fe4a2-6cc7-4cbc-be10-b094656256bf	Омри Гандельман	Omri Gandelman	Q101246957
c8196dab-e1ce-4dee-a022-5ae70597a11c	Юэль Вёлькерлинг-Перссон	Joel Voelkerling Persson	Q113575312
c9b0c506-2b5c-449b-938c-507431538698	Конрад Хардер	Conrad Harder	Q122618590
763d1aed-fe27-4fd5-a0b7-590a92b1dd0d	Джасим Ясин	Gessime Yassine	Q126436400
02ec2992-7df4-4218-95f3-15b0ee446007	Рафаэл Луиш	Rafael Luís	Q134993871
21ddae0d-3a11-4b3e-a783-d80a5acb55a1	Самир Эль-Мурабет	Samir El Mourabet	Q135616172
4b2784f9-6c44-4e3d-81bb-f313fa958826	Дариу Эссугу	Dário Essugo	Q106091717
e33a4595-42bf-46ae-9508-2bf99538bf76	Карим Кулибали	Karim Coulibaly	Q135968088
084fe20d-5998-4e99-95f3-8de4a594b5bf	Noel Caliskan	Noel Caliskan	Q118777923
2259029d-d359-4370-99fd-8b1263966e97	Камал Миллер	Kamal Miller	Q61959630
0e91fd7e-a2bf-48be-b626-8de9e0d0165d	Эрик Миллер	Eric Miller	Q16225123
6f11c142-b9fe-4847-a598-2229febded47	Давид Айяла	David Ayala	Q78651410
a0fd7c17-1b66-4ab2-bc39-67565a5522a4	Джеймс Пантемис	James Pantemis	Q24452198
f32c6718-86ce-40c4-b50f-e5caaf3e4f63	Финн Серман	Finn Surman	Q109968695
bc528827-0416-48ff-938c-7a85e9674122	Хон Мартин	Jon Martín	Q118876123
3591331b-a396-4303-a10c-b32e489ffeaa	Хон Горрочатеги	Jon Gorrotxategi	Q119591333
e4c3ba90-6c07-4253-9490-12ed54e37d88	Даниэль Диас Гандара	Dani Díaz	Q128140004
86f7d58a-c398-4fe4-852c-5caa51b49663	Luken Beitia Aguirregomezcorta	Luken Beitia Aguirregomezcorta	Q124218201
55e2f790-69e7-42e9-8fc6-b1c5a54a7bfd	Iñaki Rupérez	Iñaki Rupérez	Q124623840
c5f3d57f-1773-4a31-b5a6-05d58ad94c2a	Аркаиц Мариэскуррена	Arkaitz Mariezkurrena	Q131295995
d4304afe-1162-466d-8e15-0d5b6e1fafae	Gorka Carrera	Gorka Carrera	Q135521917
377ea6aa-ffda-4bee-8c5b-f09510ce2a2f	Мамаду Сарр	Mamadou Sarr	Q108187024
f83b0b37-7c58-4ae0-9810-4108fcf8e26d	Mikel Goti	Mikel Goti	Q107297844
4b99ad5e-0c23-4020-a305-e79e43426310	Lander Astiazaran	Lander Astiazaran	Q135676761
bca2329a-eba2-4a1d-8ef5-2a1ee53511a8	Ибай Агирре	Ibai Aguirre	Q136763194
e7058a4a-818c-4960-b71e-0de99bf47025	Unai Marrero	Unai Marrero	Q108861032
7401d9f7-8df1-4835-a8bd-d99d98f71279	Хон Микель Арамбуру Мехиас	Jon Aramburu	Q113400106
db20ff9f-0832-4e4c-a6f7-05f2f328c0bb	Орри Оскарссон	Orri Óskarsson	Q111488644
37f6db7d-f2cc-4b20-a3c7-f24299f7e583	Пабло Марин	Pablo Marín	Q110652731
ca941703-a0e6-41e2-8cb0-e27e56e9c0c2	Юсуф Кабадайы	Yusuf Kabadayı	Q121133821
c93e613a-4e63-4306-a393-ce4610533fe4	Мерт Кёмюр	Mert Kömür	Q125472882
e53d7595-01a8-44c9-9386-941210429b28	Фабиан Ридер	Fabian Rieder	Q101033685
e1d1dbe4-be39-4b57-afd8-f4709f2bdeaa	Ученна Огунду	Uchenna Ogundu	Q133849194
