# Карточки игроков, у которых wikidata_qid указывает НЕ НА ЧЕЛОВЕКА.
# Найдено 04.09.2026 запросом P31=Q5 по всем 2884 QID карточек игроков.
#
# ПРИЧИНА — МОЯ. docs/cards_pageviews_world.py резолвил QID по титулу
# ру-вики (pvi.qids_for_ru_titles) БЕЗ P31-гарда, а у мононима статья с
# его именем — это страница ФАМИЛИИ: «Беллингем» → Q16479897
# «Bellingham (surname)» вместо Q66241169 «Jude Bellingham».
#
# Тем же промахом испорчены и просмотры: они сняты со страницы фамилии.
# У «Андерсона» en=24325 — это фамилия, а не игрок.
#
# Всего: 120 карточек, из них активных 110.
#
# id	имя	name_en	qid	fame	pageviews	языки
f6b804aa-f9a4-4b73-8af3-be27d460f30b	Сесар Монтес	César Montes	Q118144170	4	454	ru
0017899b-ad2b-4696-b392-9c1637b8aa2c	Сергей Рыжиков	Sergey Ryzhikov	Q7454088	3	85	en,es,ja,zh
0d523da6-1cfb-40ef-acc7-6372c6382e5f	Георге Попеску	Gheorghe Popescu	Q1521603	3	292	en,fr
0ead0f77-ae3d-4bfa-a96c-2cc0c87779dc	Артур Юсупов	Artur Yusupov	Q16722849	3	98	en,ko
16e88535-565a-449e-88dc-1142a846192c	Андреас Бек	Andreas Beck	Q401235	3	2	ar,en,es
3c1b2377-c1b5-4546-a15c-9879f26005a6	Вендел	Wendel	Q109071654	3	373	ru
416bd303-bf4e-410c-a774-59084a929caa	Брайан Макбрайд	Brian McBride	Q4964646	3	1	en,ru
51d63dce-d5c7-4d32-922c-2d8a57070c2e	Евгений Савин	Evgeniy Savin	Q4403908	3	173	ru
53d1921a-5249-4ac0-8c21-859fd41b054e	Александр Руденко	Aleksandr Rudenko	Q16692828	3	24	en
5c3ec23a-c443-4d85-b67e-15ba1213d3a6	Александр Бубнов	Aleksandr Bubnov	Q4097638	3	94	ru
5e8f7a9e-7c16-4c85-a57b-d6de48e00c99	Сергей Петров	Sergey Petrov	Q7217854	3	153	en,zh
615d08e2-2e22-4046-8b72-ef4277131b1d	Евгений Марков	Evgeniy Markov	Q4282035	3	62	en,zh
7bae3a05-3ac9-41c6-8df4-89cb8809d04e	Варела	Varela	Q414217	3	189	en,es,fr,ja
9ec15412-86a6-49a7-b69f-081c436c032d	Клаудиньо	Claudinho	Q109094782	3	332	ru
a771e421-137e-4931-b233-ab138f12aeb3	Владимир Федотов	Vladimir Fedotov	Q4482192	3	175	ru
b1a65cdb-5219-41cb-8c03-142420dce50c	Ван Цян	Wang Qiang	Q1401523	3	66	en
d6f52352-3631-47c1-9184-f277e0f9f687	Дмитрий Парфенов	Dmitriy Parfenov	Q4346202	3	106	ru
eb28517b-d214-43e1-af9b-fbedc76fbb00	Дуду	Dudu	Q4170307	3	315	ru
022bf996-3b4a-43d5-b360-cca02f3d7e1e	Георги Миланов	Georgi Milanov	Q20815614	2	6	en,ko
1114e27d-180a-4028-bc90-695dd2ce2ff4	Юрий Никифоров	Yuriy Nikiforov	Q16680815	2	128	ru
191b7f06-c68d-4289-b545-67d0b46b8983	Сантьяго Хименес	Santiago Giménez	Q98103144	2	41	ru
21ecf926-b0ec-4873-8c06-8f04f2edfd26	Марк Овермарс	Marc Overmars	Q4330670	2	12	ru
4ad5800f-9d88-4298-afef-8e82c2701690	Игорь Денисов	Igor Denisov	Q4157986	2	196	ko
7263d762-5444-46d4-9b21-e00c45a2631a	Василий Баранов	Vasiliy Baranov	Q4077724	2	68	ru
72796774-9e38-440b-89e1-640dc07629a9	Пицци	Pizzi	Q1777435	2	153	fr,ja
833f55ca-6b73-41ab-83b7-7e3095fa6655	Александр Павленко	Aleksandr Pavlenko	Q4341334	2	51	en
88267aa2-d0a7-4832-b0d0-ec9d8fb0aada	Александр Панов	Aleksandr Panov	Q4344157	2	118	en
91204aec-d38e-489e-8c65-a8c33bdbbd32	Николай Рассказов	Nikolay Rasskazov	Q7295227	2	35	en
979d3184-4278-4fcc-812c-7643fc8e1e98	Кристиан Ледесма	Cristian Ledesma	Q1140293	2	2	en
99fee4f7-e66f-4c7e-b2af-d08ccb18064d	Ян Хао	Yang Hao	Q280145	2	38	ar,en,es,fr,ko,ru
b7d6dfd1-48fb-41f8-b1e2-22831185df3e	Александр Горшков	Aleksandr Gorshkov	Q238834	2	123	en,fr
e249f5e4-0c80-4207-9f29-2fdbeb06be71	Сергей Овчинников	Sergey Ovchinnikov	Q1216572	2	158	en,ja,ko
e3a11a82-f358-406d-ac4c-675feea027aa	Рауль Хименес	Raúl Jiménez	Q4497653	2	16	ru
00a84c04-2eba-46f4-8403-3056b4b5bdb2	Валерий Кичин	Valery Kichin	Q16663773	1	38	ru
